"GTExN7MScountsPUBLISHED","GTExN7MScountsREPROCESSED","GTExNFK9countsPUBLISHED","GTExNFK9countsREPROCESSED","GTExO5YTcountsPUBLISHED","GTExO5YTcountsREPROCESSED"
1240,749,880,537,2131,1204
16,9,41,29,1,5
0,0,0,0,0,0
3397,2131,2173,1286,7439,4130
164,94,83,44,630,351
2074,1179,1393,813,4118,2203
10,7,4,2,6,4
0,1,1,3,1,0
6195,4943,6472,4512,5218,3587
0,0,0,0,0,0
2,2,0,0,2,1
0,0,0,0,0,0
2,2,0,0,0,0
58,56,40,39,356,293
0,1,10,6,1,3
4,4,0,0,8,7
3,2,0,0,2,1
1,0,1,3,0,0
369,223,290,175,624,346
9,6,1,0,15,3
115,68,60,33,141,88
225,140,225,135,1557,877
0,0,0,0,0,0
0,0,0,0,1,0
0,0,0,1,0,0
233,123,1588,833,4999,2514
183,104,154,92,298,179
49,36,96,55,318,156
780,441,855,502,3732,2091
7,4,6,3,14,33
42,38,26,25,228,242
13,7,12,7,31,15
2,1,0,1,0,1
